Latitude,Longitude,Trail Name,Count,Time,week_of_month
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4449,07-04-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2424,07-05-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2876,07-06-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2721,07-07-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2596,07-08-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4572,07-09-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4643,07-10-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2797,07-11-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3050,07-12-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4560,07-13-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2883,07-14-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2624,07-15-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5095,07-16-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4422,07-17-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2714,07-18-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2972,07-19-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2643,07-20-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2929,07-21-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2497,07-22-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4541,07-23-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3945,07-24-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2480,07-25-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3631,07-26-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2339,07-27-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3803,07-28-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2892,07-29-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4849,07-30-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4044,07-31-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2926,08-01-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3218,08-02-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3896,08-03-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2748,08-04-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2556,08-05-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4737,08-06-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3651,08-07-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2640,08-08-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2892,08-09-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2528,08-10-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2618,08-11-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2466,08-12-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4485,08-13-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3886,08-14-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,1532,08-15-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,1274,08-16-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2166,08-17-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2522,08-18-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2637,08-19-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4686,08-20-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4176,08-21-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3193,08-22-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3432,08-23-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3525,08-24-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4047,08-25-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3351,08-26-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5496,08-27-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5691,08-28-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3012,08-29-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4016,08-30-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3278,08-31-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3174,09-01-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3660,09-02-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5568,09-03-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5321,09-04-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5645,09-05-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3515,09-06-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3160,09-07-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3334,09-08-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2588,09-09-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,911,09-10-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,1047,09-11-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,590,09-12-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,640,09-13-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,1596,09-14-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2928,09-15-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3029,09-16-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4295,09-17-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3710,09-18-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2643,09-19-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2931,09-20-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2794,09-21-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2804,09-22-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3014,09-23-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5590,09-24-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4296,09-25-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2857,09-26-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5316,09-27-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4598,09-28-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4684,09-29-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,17157,09-30-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,20530,10-01-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,18501,10-02-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4073,10-03-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3851,10-04-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3296,10-05-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2972,10-06-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,14906,10-07-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,18483,10-08-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,18195,10-09-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5114,10-10-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4433,10-11-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3690,10-12-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3638,10-13-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3806,10-14-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5999,10-15-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5139,10-16-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3269,10-17-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3559,10-18-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3587,10-19-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4168,10-20-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4703,10-21-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,7451,10-22-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,6642,10-23-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4420,10-24-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4559,10-25-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4334,10-26-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4178,10-27-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4326,10-28-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,7122,10-29-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,6299,10-30-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4050,10-31-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3683,11-01-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3250,11-02-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2609,11-03-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3652,11-04-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4895,11-05-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,5100,11-06-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2878,11-07-2016,1
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3060,11-08-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,2128,11-09-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4418,11-10-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4682,11-11-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,7714,11-12-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,7543,11-13-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4707,11-14-2016,2
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4794,11-15-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4339,11-16-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4218,11-17-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3210,11-18-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,6470,11-19-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,6282,11-20-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4342,11-21-2016,3
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3426,11-22-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4600,11-23-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4512,11-24-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3547,11-25-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,7077,11-26-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,6427,11-27-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4294,11-28-2016,4
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,4546,11-29-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3888,11-30-2016,5
30.274193,-97.772041,Butler Trail : Crenshaw Bridge - Urban Trail,3861,12-01-2016,1
